ri_item_id,rg_item_id,ri_label,rg_label,count
68593b2b-00e4-4a90-a74f-ddf6840d32d8,5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd,Agriculture Subdistrict (ASD) Level Agromet Advisory Data in Telangana State,IMD Agromet Advisory for Telangana State,"{'type': 'urn:dx:rs:success', 'title': 'Success', 'result': [{'id': '14d99c140d1f473099999bbd3b71b56a', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950241457, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-01T11:14:01+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-01T05:44:01', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': '556f36048d974201b2bbd3c7fc53eb2a', 'api': '/ngsi-ld/v1/entities', 'userid': '56aa2cb6-a4c4-4790-8e18-9254c6c11592', 'epochtime': 1711964125914, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-01T15:05:25+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-01T09:35:25', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '56aa2cb6-a4c4-4790-8e18-9254c6c11592'}, {'id': '85fbc93faace4dc8b1f630c8ec0fbcd6', 'api': '/ngsi-ld/v1/entities', 'userid': '56aa2cb6-a4c4-4790-8e18-9254c6c11592', 'epochtime': 1711964431468, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-01T15:10:31+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-01T09:40:31', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '56aa2cb6-a4c4-4790-8e18-9254c6c11592'}, {'id': '6fc2f0f6dbc44f7391fef5d0f9afffec', 'api': '/ngsi-ld/v1/entities', 'userid': '56aa2cb6-a4c4-4790-8e18-9254c6c11592', 'epochtime': 1711964434143, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-01T15:10:34+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-01T09:40:34', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '56aa2cb6-a4c4-4790-8e18-9254c6c11592'}, {'id': '142743edae3c41d59fe9864dcc68248c', 'api': '/ngsi-ld/v1/entities', 'userid': '56aa2cb6-a4c4-4790-8e18-9254c6c11592', 'epochtime': 1711965095893, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-01T15:21:35+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-01T09:51:35', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '56aa2cb6-a4c4-4790-8e18-9254c6c11592'}, {'id': '86d0801b8ffa4eb4ba3a850a64fb29d4', 'api': '/ngsi-ld/v1/entities', 'userid': '4cfbfb22-f6c8-411a-ade3-384cfedfe87d', 'epochtime': 1712130588459, 'resourceid': '68593b2b-00e4-4a90-a74f-ddf6840d32d8', 'isotime': '2024-04-03T13:19:48+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7611, 'time': '2024-04-03T07:49:48', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '504f246c-4130-451f-b4df-ce41e245a754'}], 'limit': '2000', 'offset': '0', 'totalHits': 6}"
404aae9f-905f-41de-b938-a7dccf013d9d,5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd,District Level Agromet Advisory Data in Telangana State,IMD Agromet Advisory for Telangana State,"{'type': 'urn:dx:rs:success', 'title': 'Success', 'result': [{'id': '8a4a4c8c11434d71b5805b6f2c7ca856', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950252144, 'resourceid': '404aae9f-905f-41de-b938-a7dccf013d9d', 'isotime': '2024-04-01T11:14:12+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7562, 'time': '2024-04-01T05:44:12', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': '145bfd44ba8647b582d7b01ee3f92658', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '4cfbfb22-f6c8-411a-ade3-384cfedfe87d', 'epochtime': 1711958290366, 'resourceid': '404aae9f-905f-41de-b938-a7dccf013d9d', 'isotime': '2024-04-01T13:28:10+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 2027945, 'time': '2024-04-01T07:58:10', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '504f246c-4130-451f-b4df-ce41e245a754'}, {'id': '1c57717ccae04a5db6be46fbe5332db5', 'api': '/ngsi-ld/v1/entities', 'userid': '4cfbfb22-f6c8-411a-ade3-384cfedfe87d', 'epochtime': 1712040490939, 'resourceid': '404aae9f-905f-41de-b938-a7dccf013d9d', 'isotime': '2024-04-02T12:18:10+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7562, 'time': '2024-04-02T06:48:10', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '504f246c-4130-451f-b4df-ce41e245a754'}, {'id': '49715e2e3eda4415a1bcf0b87d019a90', 'api': '/ngsi-ld/v1/entities', 'userid': '4cfbfb22-f6c8-411a-ade3-384cfedfe87d', 'epochtime': 1712132898276, 'resourceid': '404aae9f-905f-41de-b938-a7dccf013d9d', 'isotime': '2024-04-03T13:58:18+05:30[Asia/Kolkata]', 'providerid': 'e0adf587-8210-406d-8c59-8c0f27e147af', 'size': 7562, 'time': '2024-04-03T08:28:18', 'resource_group': '5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd', 'item_type': 'RESOURCE', 'delegator_id': '504f246c-4130-451f-b4df-ce41e245a754'}], 'limit': '2000', 'offset': '0', 'totalHits': 4}"
9b8ec594-a9e9-4b43-a13a-d8e0b0c54866,5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd,Commodity Codes for Agromet Advisory Data in Telangana State,IMD Agromet Advisory for Telangana State,0
e5d6a8df-9def-4c88-897f-202a927663ef,5d97f1bc-d548-4d02-9fd1-0e6d0f8227dd,District Codes for Agromet Advisory Data in Telangana State,IMD Agromet Advisory for Telangana State,0
9c24f067-9552-45c2-9137-512263651b79,3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee,AMC Commodity Price Information in Khammam District,Marketing Information from AMC in Telangana,"{'type': 'urn:dx:rs:success', 'title': 'Success', 'result': [{'id': 'e619d62e3340447283a1769c5ac04f66', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950571575, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T11:19:31+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T05:49:31', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'cfc9fa86bc114e3cbf5e3c14e204ad95', 'api': '/async/search', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950589070, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T11:19:49+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 2, 'time': '2024-04-01T05:49:49', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'f9372ed4028c4cf38ccea67ab735e8e6', 'api': '/async/search', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950608991, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T11:20:08+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 2, 'time': '2024-04-01T05:50:08', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'a1dbc49528ba4c338cacfa8850c29b5d', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711950640055, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T11:20:40+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T05:50:40', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'a4d6a3dd28154f13a2212ebc3ab3aa53', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711953160399, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T12:02:40+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T06:32:40', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'b36a15f5951049c2b0a26b1fabb8194f', 'api': '/async/search', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711953181361, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T12:03:01+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 1670, 'time': '2024-04-01T06:33:01', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': '673efd8794e0479d9137b4edc031cc45', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711960828419, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T14:10:28+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T08:40:28', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': '45ca6cc513cb40aaa6d75f77c508ad34', 'api': '/ngsi-ld/v1/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711960837574, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T14:10:37+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T08:40:37', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': 'dc3849d4f8f34662a8ac89819ab11c36', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb', 'epochtime': 1711960880189, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T14:11:20+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 1765, 'time': '2024-04-01T08:41:20', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': 'a1c8db31-f4e9-4cde-8a15-08e505f5e7fb'}, {'id': '6367345393134d728c16347812e096d9', 'api': '/ngsi-ld/v1/entities', 'userid': '56aa2cb6-a4c4-4790-8e18-9254c6c11592', 'epochtime': 1711965121316, 'resourceid': '9c24f067-9552-45c2-9137-512263651b79', 'isotime': '2024-04-01T15:22:01+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 339, 'time': '2024-04-01T09:52:01', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '56aa2cb6-a4c4-4790-8e18-9254c6c11592'}], 'limit': '2000', 'offset': '0', 'totalHits': 10}"
537b3f73-c543-4b69-bc4e-5790ef54b6c3,3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee,List of AMCs in Telangana,Marketing Information from AMC in Telangana,0
d60e022f-e32a-4d66-8178-0e7d91361c95,e4917519-c5fc-4bd9-9f89-0dd22aa54eec,Niruthi Weather Information for Telangana,Weather Information from Niruthi for Telangana State,"{'type': 'urn:dx:rs:success', 'title': 'Success', 'result': [{'id': 'af7b1664ef7c472ea61b174a2424c18e', 'api': '/ngsi-ld/v1/entities', 'userid': '4cfbfb22-f6c8-411a-ade3-384cfedfe87d', 'epochtime': 1712040350136, 'resourceid': 'd60e022f-e32a-4d66-8178-0e7d91361c95', 'isotime': '2024-04-02T12:15:50+05:30[Asia/Kolkata]', 'providerid': 'fdb2bc10-6dbb-4844-9f0f-4a343a870f61', 'size': 3836296, 'time': '2024-04-02T06:45:50', 'resource_group': 'e4917519-c5fc-4bd9-9f89-0dd22aa54eec', 'item_type': 'RESOURCE', 'delegator_id': 'f738f38a-7fde-478b-9650-4187603dec45'}], 'limit': '2000', 'offset': '0', 'totalHits': 1}"
b72a23b8-5767-48a1-8fc8-6abafe23e69a,f5d4d767-dfdd-48b0-8afc-aa49da4c9776,Weather Information in Khammam District,Weather Monitoring Systems in Khammam,0
0dc68957-c82c-4b1c-9c8a-c53c165cd705,f5d4d767-dfdd-48b0-8afc-aa49da4c9776,Historical Rainfall Information in Khammam District,Weather Monitoring Systems in Khammam,0
4aef701f-bf08-4f66-b38b-594a9c8c15cf,3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee,AMC Commodity Price Information in Telangana State,Marketing Information from AMC in Telangana,"{'type': 'urn:dx:rs:success', 'title': 'Success', 'result': [{'id': '042db4b8d74a4c368e485ccc9578f18d', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1711754112251, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-03-30T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 129145, 'time': '2024-03-29T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': '0d3b3e2260ce4dee8e0cf31b493f6ee4', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1711773446092, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-03-30T10:07:26+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 129145, 'time': '2024-03-30T04:37:26', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'd604c257c78c4f60a8b95c190d1bdb0c', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1711840512673, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-03-31T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 104992, 'time': '2024-03-30T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': '2195ce6272f648ee87329c27db1fe3e3', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1711910481546, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-01T00:11:21+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 86546, 'time': '2024-03-31T18:41:21', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'e05634c4d0b34b28952d9df7e2b55ff2', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1711926912241, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-01T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 86546, 'time': '2024-03-31T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'f2a76188cd6449cfb55981d0bcb3b004', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712002339939, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-02T01:42:19+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 126857, 'time': '2024-04-01T20:12:19', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'f782052f60ca4e6ebd4c14e76345283f', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712008192106, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-02T03:19:52+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 126857, 'time': '2024-04-01T21:49:52', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': '63e3a03c20474f40a1a424682cf579a5', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712013311698, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-02T04:45:11+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 126857, 'time': '2024-04-01T23:15:11', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': '2c195a310cad485aa2743d4ef12fad51', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712060158535, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-02T17:45:58+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 126857, 'time': '2024-04-02T12:15:58', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': '638647783c27439bae034cd7fc4bec17', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712099712124, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-03T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 219300, 'time': '2024-04-02T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'b01ee490d3494e179a15e9675a122605', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712186112178, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-04T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 230994, 'time': '2024-04-03T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}, {'id': 'd98a5242e6de4ebd851359dfcc15390e', 'api': '/ngsi-ld/v1/temporal/entities', 'userid': '11321bba-6a30-42f8-88c2-b3fcc45019a9', 'epochtime': 1712272512185, 'resourceid': '4aef701f-bf08-4f66-b38b-594a9c8c15cf', 'isotime': '2024-04-05T04:45:12+05:30[Asia/Kolkata]', 'providerid': '6e70bb6d-43a2-4f0d-a79e-6c2ea1fa1382', 'size': 212479, 'time': '2024-04-04T23:15:12', 'resource_group': '3f01f800-92d7-4ffa-afe3-7cb4fb8aa3ee', 'item_type': 'RESOURCE', 'delegator_id': '11321bba-6a30-42f8-88c2-b3fcc45019a9'}], 'limit': '2000', 'offset': '0', 'totalHits': 12}"
